company_name|symbol|sector_name|subsector_name|listing_date
2GO GROUP, INC.| 2GO |||May 15, 1995
8990 Holdings, Inc. Series B Perpetual Preferred Shares|8990B|PROPERTY|PROPERTY|February 10, 2021
8990 Holdings, Inc. Series A Perpetual Preferred Shares|8990P|PROPERTY|PROPERTY|December 01, 2017
Asia Amalgamated Holdings Corporation|AAA|HOLDING FIRMS|HOLDING FIRMS|March 22, 1973
Atok-Big Wedge Co., Inc.|AB|MINING & OIL|MINING|January 08, 1948
AbaCore Capital Holdings, Inc.|ABA|HOLDING FIRMS|HOLDING FIRMS|October 28, 1987
Asiabest Group International Inc.|ABG|HOLDING FIRMS|HOLDING FIRMS|July 10, 1979
ABS-CBN Corporation|ABS|SERVICES|MEDIA|July 08, 1992
ABS-CBN Holdings Corporation - Philippine Deposit Receipts|ABSP|SERVICES|MEDIA|October 07, 1999
Ayala Corporation|AC|HOLDING FIRMS|HOLDING FIRMS|November 08, 1976
Acesite (Phils.) Hotel Corporation|ACE|SERVICES|HOTEL & LEISURE|December 05, 1986
ACEN CORPORATION|ACEN|INDUSTRIAL|ELEC., ENERGY, POWER & WATER|January 05, 1970
ACEN Corporation Perpetual Series A Preferred Shares|ACENA|INDUSTRIAL|ELEC., ENERGY, POWER & WATER|September 01, 2023
ACEN Corporation Perpetual Series B Preferred Shares|ACENB|INDUSTRIAL|ELEC., ENERGY, POWER & WATER|September 01, 2023
Ayala Corporation Preferred Class ``A`` Shares|ACPA|HOLDING FIRMS|HOLDING FIRMS|November 25, 2008
Ayala Corporation Non-Voting Perpetual Preferred A Shares|ACPAR|HOLDING FIRMS|HOLDING FIRMS|May 29, 2023
Ayala Corporation Class ``B`` Series 1 Preferred Shares|ACPB1|HOLDING FIRMS|HOLDING FIRMS|July 21, 2006
Alsons Consolidated Resources, Inc.|ACR|INDUSTRIAL|ELEC., ENERGY, POWER & WATER|April 12, 1993
Aboitiz Equity Ventures, Inc.|AEV|HOLDING FIRMS|HOLDING FIRMS|November 16, 1994
Alliance Global Group, Inc.|AGI|HOLDING FIRMS|HOLDING FIRMS|April 19, 1999
Arthaland Corporation|ALCO|PROPERTY|PROPERTY|March 19, 1996
Arthaland Corporation Series ``B`` Perpetual Preferred Shares|ALCPB|PROPERTY|PROPERTY|December 06, 2016
Arthaland Corporation Series ``C`` Perpetual Preferred Shares|ALCPC|PROPERTY|PROPERTY|June 27, 2019
Arthaland Corporation Series ``D`` Preferred Shares|ALCPD|PROPERTY|PROPERTY|December 03, 2021
Anchor Land Holdings, Inc.|ALHI|PROPERTY|PROPERTY|August 08, 2007
Ayala Land, Inc.|ALI|PROPERTY|PROPERTY|July 05, 1991
AllDay Marts, Inc.|ALLDY|SERVICES|RETAIL|November 03, 2021
AyalaLand Logistics Holdings Corp.|ALLHC|PROPERTY|PROPERTY|February 28, 1990
Alternergy Holdings Corporation|ALTER|INDUSTRIAL|ELEC., ENERGY, POWER & WATER|March 24, 2023
AgriNurture, Inc.|ANI|INDUSTRIAL|FOOD, BEVERAGE & TOBACCO|May 25, 2009
A. Soriano Corporation|ANS|HOLDING FIRMS|HOLDING FIRMS|October 25, 1973
Aboitiz Power Corporation|AP|INDUSTRIAL|ELEC., ENERGY, POWER & WATER|July 16, 2007
Ayala Corporation Class ``B`` Series 2 Preferred Shares|APB2R|HOLDING FIRMS|HOLDING FIRMS|November 29, 2019
APC Group, Inc.|APC|SERVICES|OTHER SERVICES|March 08, 1994
Apollo Global Capital, Inc.|APL|SERVICES|INFORMATION TECHNOLOGY|October 18, 2012
Anglo Philippine Holdings Corporation|APO|HOLDING FIRMS|HOLDING FIRMS|July 31, 1959
Altus Property Ventures, Inc.|APVI|PROPERTY|PROPERTY|June 26, 2020
Apex Mining Co., Inc.|APX|MINING & OIL|MINING|March 07, 1974
Abra Mining & Industrial Corporation|AR|MINING & OIL|MINING|December 24, 1969
Araneta Properties, Inc.|ARA|PROPERTY|PROPERTY|November 14, 1989
AREIT, Inc.|AREIT|PROPERTY|PROPERTY|August 13, 2020
Raslag Corp.|ASLAG|INDUSTRIAL|ELEC., ENERGY, POWER & WATER|June 06, 2022
Atlas Consolidated Mining and Development Corporation|AT|MINING & OIL|MINING|November 17, 1970
Asian Terminals, Inc.|ATI|SERVICES|TRANSPORTATION SERVICES|January 25, 1996
ATN Holdings, Inc. ``A``|ATN|HOLDING FIRMS|HOLDING FIRMS|September 24, 1970
ATN Holdings, Inc. ``B``|ATNB|HOLDING FIRMS|HOLDING FIRMS|September 24, 1970
Asia United Bank Corporation|AUB|FINANCIALS|BANKS|May 17, 2013
Axelum Resources Corp.|AXLM|INDUSTRIAL|FOOD, BEVERAGE & TOBACCO|October 07, 2019
Balai Ni Fruitas Inc.|BALAI|SME|SME|June 30, 2022
Benguet Corporation ``A``|BC|MINING & OIL|MINING|January 04, 1950
Benguet Corporation ``B``|BCB|MINING & OIL|MINING|January 04, 1950
Berjaya Philippines, Inc.|BCOR|SERVICES|RETAIL|November 29, 1948
Benguet Corporation - 8% Cumulative Convertible Preferred A|BCP|MINING & OIL|MINING|May 29, 1974
BDO Unibank, Inc.|BDO|FINANCIALS|BANKS|May 21, 2002
Belle Corporation|BEL|SERVICES|CASINOS & GAMING|February 02, 1977
BHI Holdings, Inc.|BH|HOLDING FIRMS|HOLDING FIRMS|November 02, 1966
Boulevard Holdings, Inc.|BHI|SERVICES|HOTEL & LEISURE|April 28, 1997
Bright Kindle Resources & Investments Inc.|BKR|FINANCIALS|OTHER FINANCIAL INSTITUTIONS|March 21, 1995
Bloomberry Resorts Corporation|BLOOM|SERVICES|CASINOS & GAMING|October 17, 2000
Bogo-Medellin Milling Co., Inc.|BMM|INDUSTRIAL|FOOD, BEVERAGE & TOBACCO|November 16, 1950
Bank of Commerce|BNCOM|FINANCIALS|BANKS|March 31, 2022
Bank of the Philippine Islands|BPI|FINANCIALS|BANKS|October 12, 1971
A Brown Company, Inc.|BRN|PROPERTY|PROPERTY|February 08, 1994
A Brown Company, Inc. Series A Preferred Shares|BRNP|PROPERTY|PROPERTY|November 29, 2021
Basic Energy Corporation|BSC|INDUSTRIAL|ELEC., ENERGY, POWER & WATER|October 16, 1973
Chelsea Logistics and Infrastructure Holdings Corp.|C|SERVICES|TRANSPORTATION SERVICES|August 08, 2017
Concrete Aggregates Corp. ``A``|CA|INDUSTRIAL|CONSTRUCTION, INFR. & ALLIED|October 20, 1972
Concrete Aggregates Corp. ``B``|CAB|INDUSTRIAL|CONSTRUCTION, INFR. & ALLIED|April 02, 1973
Central Azucarera de Tarlac, Inc.|CAT|INDUSTRIAL|FOOD, BEVERAGE & TOBACCO|April 12, 1977
Cityland Development Corporation|CDC|PROPERTY|PROPERTY|August 02, 1983
Cebu Air, Inc.|CEB|SERVICES|TRANSPORTATION SERVICES|October 26, 2010
Cebu Air, Inc. Convertible Preferred Shares|CEBCP|SERVICES|TRANSPORTATION SERVICES|March 29, 2021
Crown Equities, Inc.|CEI|PROPERTY|PROPERTY|August 16, 1994
Centro Escolar University|CEU|SERVICES|EDUCATION|November 10, 1986
Cebu Holdings, Inc.|CHI|PROPERTY|PROPERTY|February 14, 1994
China Banking Corporation|CHIB|FINANCIALS|BANKS|September 01, 1927
Cemex Holdings Philippines, Inc.|CHP|INDUSTRIAL|CONSTRUCTION, INFR. & ALLIED|July 18, 2016
Concepcion Industrial Corporation|CIC|INDUSTRIAL|ELECTRICAL COMPONENTS & EQUIP.|November 27, 2013
Chemical Industries of the Philippines, Inc.|CIP|INDUSTRIAL|CHEMICALS|November 21, 1985
Cebu Landmasters, Inc.|CLI|PROPERTY|PROPERTY|June 02, 2017
Century Pacific Food, Inc.|CNPF|INDUSTRIAL|FOOD, BEVERAGE & TOBACCO|May 06, 2014
Converge Information and Communications Technology Solutions, Inc.|CNVRG|SERVICES|INFORMATION TECHNOLOGY|October 26, 2020
Coal Asia Holdings Incorporated|COAL|MINING & OIL|MINING|October 23, 2012
COL Financial Group, Inc.|COL|FINANCIALS|OTHER FINANCIAL INSTITUTIONS|July 12, 2006
Cosco Capital, Inc.|COSCO|HOLDING FIRMS|HOLDING FIRMS|September 26, 1988
Century Properties Group Inc.|CPG|PROPERTY|PROPERTY|June 16, 1976
Century Properties Group Inc. Preferred A Shares|CPGP|PROPERTY|PROPERTY|January 10, 2020
Century Peak Holdings Corporation|CPM|MINING & OIL|MINING|October 06, 2009
Citicore Energy REIT Corp.|CREIT|PROPERTY|PROPERTY|February 22, 2022
Crown Asia Chemicals Corporation|CROWN|INDUSTRIAL|CHEMICALS|April 27, 2015
Citystate Savings Bank, Inc.|CSB|FINANCIALS|BANKS|January 03, 2002
CTS Global Equity Group, Inc.|CTS|SME|SME|April 13, 2022
Cyber Bay Corporation|CYBR|PROPERTY|PROPERTY|March 19, 1991
DoubleDragon Corporation|DD|PROPERTY|PROPERTY|April 07, 2014
DDMP REIT, Inc.|DDMPR|PROPERTY|PROPERTY|March 24, 2021
DoubleDragon Properties Corp. Preferred Shares|DDPR|PROPERTY|PROPERTY|July 26, 2016
Del Monte Pacific Limited|DELM|INDUSTRIAL|FOOD, BEVERAGE & TOBACCO|June 10, 2013
DFNN, Inc.|DFNN|SERVICES|INFORMATION TECHNOLOGY|October 30, 2000
Dominion Holdings, Inc.|DHI|FINANCIALS|OTHER FINANCIAL INSTITUTIONS|January 06, 1997
DITO CME Holdings Corp.|DITO|SERVICES|INFORMATION TECHNOLOGY|October 01, 1975
Dizon Copper-Silver Mines, Inc.|DIZ|MINING & OIL|MINING|February 10, 1988
DMCI Holdings, Inc.|DMC|HOLDING FIRMS|HOLDING FIRMS|December 18, 1995
DMCI Holdings, Inc. - Cumulative Convertible Preferred|DMCP|HOLDING FIRMS|HOLDING FIRMS|April 07, 1997
Del Monte Pacific Limited U.S. Dollar-Denominated Series A-1 Preference Shares|DMPA1|INDUSTRIAL|FOOD, BEVERAGE & TOBACCO|April 07, 2017
Del Monte Pacific Limited U.S. Dollar-Denominated Series A-2 Preference Shares|DMPA2|INDUSTRIAL|FOOD, BEVERAGE & TOBACCO|December 15, 2017
D.M. Wenceslao & Associates, Incorporated|DMW|PROPERTY|PROPERTY|June 29, 2018
Philab Holdings Corp.|DNA|SME|SME|September 03, 2009
D&L Industries, Inc.|DNL|INDUSTRIAL|FOOD, BEVERAGE & TOBACCO|December 12, 2012
PLDT INC. -USD|DTEL|SERVICES|TELECOMMUNICATIONS|July 16, 2003
Discovery World Corporation|DWC|SERVICES|HOTEL & LEISURE|November 21, 2013
Easycall Communications Philippines, Inc.|ECP|SERVICES|OTHER SERVICES|May 05, 1992
East Coast Vulcan Corporation|ECVC|INDUSTRIAL|CONSTRUCTION, INFR. & ALLIED|August 31, 1970
EEI Corporation|EEI|INDUSTRIAL|CONSTRUCTION, INFR. & ALLIED|July 21, 1975
EEI Corporation Series A Preferred Shares|EEIPA|INDUSTRIAL|CONSTRUCTION, INFR. & ALLIED|December 23, 2021
EEI Corporation Series B Preferred Shares|EEIPB|INDUSTRIAL|CONSTRUCTION, INFR. & ALLIED|December 23, 2021
IP E-Game Ventures, Inc.|EG|SERVICES|CASINOS & GAMING|February 17, 2010
Empire East Land Holdings, Inc.|ELI|PROPERTY|PROPERTY|June 28, 1996
Emperador Inc.|EMI|INDUSTRIAL|FOOD, BEVERAGE & TOBACCO|December 19, 2011
ENEX Energy Corp.|ENEX|MINING & OIL|OIL|August 28, 2014
Euro-Med Laboratories Phil., Inc.|EURO|INDUSTRIAL|CHEMICALS|July 02, 1998
Ever-Gotesco Resources and Holdings, Inc.|EVER|PROPERTY|PROPERTY|September 16, 1996
East West Banking Corporation|EW|FINANCIALS|BANKS|May 07, 2012
First Abacus Financial Holdings Corp.|FAF|FINANCIALS|OTHER FINANCIAL INSTITUTIONS|November 17, 1994
San Miguel Food and Beverage, Inc.|FB|INDUSTRIAL|FOOD, BEVERAGE & TOBACCO|October 28, 1971
San Miguel Food and Beverage, Inc. - Preferred|FBP|INDUSTRIAL|FOOD, BEVERAGE & TOBACCO|March 03, 2011
San Miguel Food and Beverage, Inc. Perpetual Preferred Shares Series ``2``|FBP2|INDUSTRIAL|FOOD, BEVERAGE & TOBACCO|March 12, 2015
Figaro Coffee Group, Inc.|FCG|INDUSTRIAL|FOOD, BEVERAGE & TOBACCO|January 24, 2022
Filinvest Development Corporation|FDC|HOLDING FIRMS|HOLDING FIRMS|December 22, 1982
Ferronoux Holdings, Inc.|FERRO|FINANCIALS|OTHER FINANCIAL INSTITUTIONS|August 13, 2013
Far Eastern University, Incorporated|FEU|SERVICES|EDUCATION|July 11, 1986
Filipino Fund, Inc.|FFI|FINANCIALS|OTHER FINANCIAL INSTITUTIONS|September 27, 1995
First Gen Corporation|FGEN|INDUSTRIAL|ELEC., ENERGY, POWER & WATER|February 10, 2006
First Gen Corporation Series ``G`` Preferred Shares|FGENG|INDUSTRIAL|ELEC., ENERGY, POWER & WATER|May 17, 2012
Filinvest REIT Corp.|FILRT|PROPERTY|PROPERTY|August 12, 2021
F&J Prince Holdings Corporation ``A``|FJP|HOLDING FIRMS|HOLDING FIRMS|December 08, 1982
F&J Prince Holdings Corporation ``B``|FJPB|HOLDING FIRMS|HOLDING FIRMS|December 08, 1982
Filinvest Land, Inc.|FLI|PROPERTY|PROPERTY|October 25, 1993
First Metro Philippine Equity Exchange Traded Fund, Inc.|FMETF|ETF|ETF-EQUITY|December 02, 2013
Global Ferronickel Holdings, Inc.|FNI|MINING & OIL|MINING|December 14, 1994
Alliance Select Foods International, Inc.|FOOD|INDUSTRIAL|FOOD, BEVERAGE & TOBACCO|November 08, 2006
First Philippine Holdings Corporation|FPH|INDUSTRIAL|ELEC., ENERGY, POWER & WATER|May 23, 1963
Forum Pacific, Inc.|FPI|HOLDING FIRMS|HOLDING FIRMS|December 19, 1994
Fruitas Holdings, Inc.|FRUIT|INDUSTRIAL|FOOD, BEVERAGE & TOBACCO|November 29, 2019
Filsyn Corporation ``A``|FYN|INDUSTRIAL|OTHER INDUSTRIALS|June 03, 1975
Filsyn Corporation ``B``|FYNB|INDUSTRIAL|OTHER INDUSTRIALS|June 03, 1975
GEOGRACE Resources Philippines, Inc.|GEO|MINING & OIL|MINING|February 07, 1972
Global-Estate Resorts, Inc.|GERI|PROPERTY|PROPERTY|November 23, 1995
Globe Telecom, Inc.|GLO|SERVICES|TELECOMMUNICATIONS|August 11, 1975
Globe Telecom, Inc. Series A Voting Perpetual Preferred Shares|GLOPA|SERVICES|TELECOMMUNICATIONS|June 29, 2001
Globe Telecom, Inc. Series A Non-Voting Perpetual Preferred Shares|GLOPP|SERVICES|TELECOMMUNICATIONS|August 22, 2014
GMA Network, Inc.|GMA7|SERVICES|MEDIA|July 30, 2007
GMA Holdings, Inc. - Philippine Deposit Receipts|GMAP|SERVICES|MEDIA|July 30, 2007
Grand Plaza Hotel Corporation|GPH|SERVICES|HOTEL & LEISURE|December 10, 1992
Greenergy Holdings Incorporated|GREEN|INDUSTRIAL|ELECTRICAL COMPONENTS & EQUIP.|September 26, 1996
Ginebra San Miguel, Inc.|GSMI|INDUSTRIAL|FOOD, BEVERAGE & TOBACCO|April 18, 1995
GT Capital Holdings, Inc.|GTCAP|HOLDING FIRMS|HOLDING FIRMS|April 20, 2012
GT Capital Holdings, Inc. Non-Voting Perpetual Preferred Shares Series ``A``|GTPPA|HOLDING FIRMS|HOLDING FIRMS|October 27, 2016
GT Capital Holdings, Inc. Non-Voting Perpetual Preferred Shares Series ``B``|GTPPB|HOLDING FIRMS|HOLDING FIRMS|October 27, 2016
House of Investments, Inc.|HI|HOLDING FIRMS|HOLDING FIRMS|July 02, 1962
HOLCIM PHILIPPINES, INC.|HLCM|||June 17, 1996
AllHome Corp.|HOME|SERVICES|RETAIL|October 10, 2019
8990 Holdings, Inc.|HOUSE|PROPERTY|PROPERTY|December 09, 2010
Haus Talk, Inc.|HTI|SME|SME|January 17, 2022
Golden MV Holdings, Inc.|HVN|PROPERTY|PROPERTY|June 29, 2016
I-Remit, Inc.|I|FINANCIALS|OTHER FINANCIAL INSTITUTIONS|October 17, 2007
International Container Terminal Services, Inc.|ICT|SERVICES|TRANSPORTATION SERVICES|March 23, 1992
Italpinas Development Corporation|IDC|SME|SME|December 07, 2015
Integrated Micro-Electronics, Inc.|IMI|INDUSTRIAL|ELECTRICAL COMPONENTS & EQUIP.|January 21, 2010
Imperial Resources, Inc.|IMP|SERVICES|INFORMATION TECHNOLOGY|August 31, 1970
Philippine Infradev Holdings Inc.|INFRA|PROPERTY|PROPERTY|February 27, 1978
Ionics, Inc.|ION|INDUSTRIAL|ELECTRICAL COMPONENTS & EQUIP.|July 18, 1995
IPM Holdings, Inc.|IPM|SERVICES|OTHER SERVICES|June 17, 1998
iPeople, Inc.|IPO|SERVICES|EDUCATION|January 24, 1990
Island Information & Technology, Inc.|IS|SERVICES|INFORMATION TECHNOLOGY|December 06, 1988
Jackstones, Inc.|JAS|SERVICES|INFORMATION TECHNOLOGY|October 27, 1967
Jollibee Foods Corporation|JFC|INDUSTRIAL|FOOD, BEVERAGE & TOBACCO|July 14, 1993
Jollibee Foods Corporation Non-Voting Perpetual Series A Preferred Shares|JFCPA|INDUSTRIAL|FOOD, BEVERAGE & TOBACCO|October 14, 2021
Jollibee Foods Corporation Non-Voting Perpetual Series B Preferred Shares|JFCPB|INDUSTRIAL|FOOD, BEVERAGE & TOBACCO|October 14, 2021
JG Summit Holdings, Inc.|JGS|HOLDING FIRMS|HOLDING FIRMS|August 09, 1993
Jolliville Holdings Corporation|JOH|INDUSTRIAL|ELEC., ENERGY, POWER & WATER|June 17, 2002
The Keepers Holdings, Inc.|KEEPR|INDUSTRIAL|FOOD, BEVERAGE & TOBACCO|September 03, 1991
Keppel Philippines Properties, Inc.|KEP|PROPERTY|PROPERTY|September 11, 1989
Keppel Philippines Holdings, Inc. ``A``|KPH|HOLDING FIRMS|HOLDING FIRMS|August 26, 1987
Keppel Philippines Holdings, Inc. ``B``|KPHB|HOLDING FIRMS|HOLDING FIRMS|August 26, 1987
Kepwealth Property Phils., Inc.|KPPI|SME|SME|August 19, 2019
City & Land Developers, Incorporated|LAND|PROPERTY|PROPERTY|December 13, 1999
LBC Express Holdings, Inc.|LBC|SERVICES|TRANSPORTATION SERVICES|December 21, 2001
Lepanto Consolidated Mining Company ``A``|LC|MINING & OIL|MINING|April 30, 1947
Lepanto Consolidated Mining Company ``B``|LCB|MINING & OIL|MINING|April 30, 1947
Liberty Flour Mills, Inc.|LFM|INDUSTRIAL|FOOD, BEVERAGE & TOBACCO|April 25, 1985
LMG Corp.|LMG|INDUSTRIAL|CHEMICALS|January 07, 1986
Lodestar Investment Holdings Corporation|LODE|HOLDING FIRMS|HOLDING FIRMS|May 26, 1989
Pacific Online Systems Corporation|LOTO|SERVICES|CASINOS & GAMING|April 12, 2007
